industry	workflow	failure	diagnosis	evidence_gathering	decision	correction	approval	resubmission	closure	actual_operational_behavior	candidate_relevance
Other transportation and support activities	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation and support activities	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation and support activities	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation and support activities	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Merchandising and Assortment Planning	Merchandising and Assortment Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Inventory and Perishables Management	Inventory and Perishables Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Point-of-Sale and Loyalty Operations	Point-of-Sale and Loyalty Operations cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Workforce Scheduling	Workforce Scheduling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Margin and Shrink Management	Margin and Shrink Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Food and beverage stores	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage stores	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Performing arts, spectator sports, museums, and related activities	Programming and Event Planning	Programming and Event Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Ticketing and Pricing	Ticketing and Pricing cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Venue and Staff Operations	Venue and Staff Operations cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Sponsorship and Donor Management	Sponsorship and Donor Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Event Settlement and Reporting	Event Settlement and Reporting cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Performing arts, spectator sports, museums, and related activities	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Performing arts, spectator sports, museums, and related activities	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Air transportation	Network and Schedule Planning	Network and Schedule Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Air transportation	Crew and Fleet Assignment	Crew and Fleet Assignment cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Air transportation	Revenue Management	Revenue Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Air transportation	Operational Recovery and Disruption Management	Operational Recovery and Disruption Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Air transportation	Loyalty and Settlement Accounting	Loyalty and Settlement Accounting cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Air transportation	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Air transportation	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Air transportation	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Air transportation	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Air transportation	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Merchandising and Assortment Planning	Merchandising and Assortment Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Inventory Allocation and Replenishment	Inventory Allocation and Replenishment cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Order Orchestration and Fulfillment	Order Orchestration and Fulfillment cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Store Labor Execution	Store Labor Execution cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Returns and Markdown Management	Returns and Markdown Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
General merchandise stores	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Billing, settlement, and close	Billing, settlement, and close cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
General merchandise stores	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
General merchandise stores	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Material Sourcing	Material Sourcing cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Production Planning and Process Control	Production Planning and Process Control cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Asset Maintenance and Uptime Management	Asset Maintenance and Uptime Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Quality Inspection and Certification	Quality Inspection and Certification cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Primary metals	Order Management and Fulfillment	Order Management and Fulfillment cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Billing, settlement, and close	Billing, settlement, and close cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Primary metals	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Primary metals	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Plastics and rubber products	Material Sourcing	Material Sourcing cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
