workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,primary_structural_failure_code,primary_structural_failure_name,secondary_structural_failure_codes,secondary_structural_failure_names,all_selected_failure_codes,all_selected_failure_names,selected_failure_score_breakdown,full_score_breakdown,dominant_root_cause,economic_leakage_summary,time_leakage_summary,human_judgment_summary,system_of_record_escape_summary,why_it_persists_summary,workflow_document
"Quality, Safety, and Environmental Management","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Chemical products,1,SF-07,Compliance and Evidence Burden,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07 | SF-04 | SF-03,Compliance and Evidence Burden | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07:23.5 | SF-04:14.0 | SF-03:10.5,SF-07:23.5 | SF-04:14.0 | SF-03:10.5 | SF-01:7.0 | SF-02:1.0,Regulatory,"Failures, recalls, rework, and excess inspection labor are the major leakage points.","Teams repeat data entry, collect evidence manually, and wait on disposition decisions.","Inspectors still interpret severity, traceability gaps, and acceptable release decisions.","Evidence often sits in attachments, lab systems, spreadsheets, and manual checklists outside the main record.","Standards are formal, but real-world deviations and root-cause interpretation remain human-heavy. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/quality-safety-and-environmental-management.md
Recruiting and Work Assignment,Workforce and Labor Operations,Workforce Coordination and Service Operations,Administrative and support services,1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:7.0 | SF-04:7.0,SF-03:7.0 | SF-04:7.0 | SF-05:4.0 | SF-06:2.0,Behavioral,"Leakage comes from misstaffing, poor utilization, overqualified labor, and late reassignment.",Managers spend time matching people to work and rebalancing load when priorities shift.,"People assignment depends on context, trust, and tacit knowledge about who can truly handle the work.","Assignment rationale is often managed in calls, chats, and local trackers outside the HCM tool.","Skills models help, but actual staffing decisions remain social and context-sensitive. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/recruiting-and-work-assignment.md
Regulatory Labeling and Compliance,"Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Food and beverage and tobacco products,1,SF-07,Compliance and Evidence Burden,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07 | SF-04 | SF-03,Compliance and Evidence Burden | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07:23.5 | SF-04:14.0 | SF-03:10.5,SF-07:23.5 | SF-04:14.0 | SF-03:10.5 | SF-01:7.0 | SF-02:1.0,Regulatory,"Failures, recalls, rework, and excess inspection labor are the major leakage points.","Teams repeat data entry, collect evidence manually, and wait on disposition decisions.","Inspectors still interpret severity, traceability gaps, and acceptable release decisions.","Evidence often sits in attachments, lab systems, spreadsheets, and manual checklists outside the main record.","Standards are formal, but real-world deviations and root-cause interpretation remain human-heavy. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/regulatory-labeling-and-compliance.md
Regulatory and Reinsurance Reporting,"Risk, Compliance, and Reporting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,1,SF-07,Compliance and Evidence Burden,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-07 | SF-03 | SF-01,Compliance and Evidence Burden | Decision Context Escapes the Record | Exception-Path Breakdown,SF-07:26.0 | SF-03:12.0 | SF-01:7.0,SF-07:26.0 | SF-03:12.0 | SF-01:7.0 | SF-02:6.0 | SF-04:4.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/regulatory-and-reinsurance-reporting.md
Reliability and Security Operations,"Risk, Compliance, and Reporting",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",1,SF-07,Compliance and Evidence Burden,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-07 | SF-03 | SF-01,Compliance and Evidence Burden | Decision Context Escapes the Record | Exception-Path Breakdown,SF-07:26.0 | SF-03:12.0 | SF-01:7.0,SF-07:26.0 | SF-03:12.0 | SF-01:7.0 | SF-02:6.0 | SF-04:4.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/reliability-and-security-operations.md
Renewal and Account Expansion,Customer and Experience Operations,Professional Services and Matter Management,Computer systems design and related services,1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:16.0 | SF-04:12.5,SF-03:16.0 | SF-04:12.5 | SF-01:1.0,Behavioral,"Late risk detection, weak expansion discipline, and reactive renewal handling erode retention economics.","Teams assemble context manually across service records, invoices, and relationship notes before every renewal conversation.","Renewal strategy depends on relationship strength, future potential, and nuanced commercial tradeoffs.","The decisive conversations happen in calls, emails, and side planning decks outside the system of record.",Signals are fragmented and the most important retention decisions are strategic rather than purely operational. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/renewal-and-account-expansion.md
Reservation and Contract Management,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,1,SF-01,Exception-Path Breakdown,SF-03,Decision Context Escapes the Record,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-01:7.0 | SF-03:6.0,SF-01:7.0 | SF-03:6.0 | SF-04:4.0 | SF-05:4.0 | SF-08:3.0 | SF-06:2.0 | SF-02:1.0,Technical,"Leakage comes from spoilage, bad holds, channel mix mistakes, refunds, and poor yield control.","Teams burn time resolving inventory conflicts, special requests, and distribution-channel mismatches.","Operators still decide how to recover service, override inventory, and handle edge-case customers.","Special handling moves through calls, guest notes, and partner channels outside the clean reservation record.","Inventory can be digitized, but exception-heavy capacity control and live service recovery still depend on people. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/reservation-and-contract-management.md
Reservation and Distribution Management,"Access, Intake, and Contracting","Venue, Hospitality, and Attendance Operations",Accommodation,1,SF-01,Exception-Path Breakdown,SF-03,Decision Context Escapes the Record,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-01:7.0 | SF-03:6.0,SF-01:7.0 | SF-03:6.0 | SF-04:4.0 | SF-05:4.0 | SF-08:3.0 | SF-06:2.0 | SF-02:1.0,Technical,"Leakage comes from spoilage, bad holds, channel mix mistakes, refunds, and poor yield control.","Teams burn time resolving inventory conflicts, special requests, and distribution-channel mismatches.","Operators still decide how to recover service, override inventory, and handle edge-case customers.","Special handling moves through calls, guest notes, and partner channels outside the clean reservation record.","Inventory can be digitized, but exception-heavy capacity control and live service recovery still depend on people. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/reservation-and-distribution-management.md
Returns and Markdown Management,Customer and Experience Operations,Retail and Service Commerce,General merchandise stores,1,SF-04,Human Judgment Under Incomplete Information,,,SF-04,Human Judgment Under Incomplete Information,SF-04:11.0,SF-04:11.0 | SF-03:5.0 | SF-01:1.0 | SF-06:1.0,Technical,"Leakage comes from blunt discounts, poor markdown timing, and channel decisions that shift volume without improving contribution.","Analysts and operators waste time aligning price files, inventory context, and execution timing.","Merchants still interpret local demand, competitor behavior, and brand considerations.","The rationale for overrides often lives in spreadsheets, chats, and field communications.","Optimization helps, but demand signals remain noisy and commercial teams still distrust fully automated rules. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/returns-and-markdown-management.md
Revenue Management,Planning and Allocation,"Transportation Network Operations | Venue, Hospitality, and Attendance Operations",Accommodation | Air transportation,2,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-03,Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04 | SF-06 | SF-03,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04:8.5 | SF-06:8.5 | SF-03:6.0,SF-04:8.5 | SF-06:8.5 | SF-03:6.0 | SF-01:5.0 | SF-07:1.5 | SF-05:1.0,Technical,"Yield is lost through blunt pricing, poor segment control, and late response to demand shifts.",Teams spend time validating model output and coordinating overrides with selling channels.,"Managers still incorporate local knowledge, events, and customer behavior that are only partly visible in the data.",Override rationales and special-event plans often live in spreadsheets and meetings outside the pricing engine.,"Optimization is strong, but last-mile trust and local exception handling keep humans in the loop. It typically spans 2 operating-system contexts and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/revenue-management.md
Revenue and Regulatory Reporting,Finance and Revenue Operations,Field Production and Resource Extraction,Oil and gas extraction,1,SF-07,Compliance and Evidence Burden,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-07 | SF-03 | SF-02,Compliance and Evidence Burden | Decision Context Escapes the Record | Cross-System Reconciliation,SF-07:21.0 | SF-03:13.0 | SF-02:10.0,SF-07:21.0 | SF-03:13.0 | SF-02:10.0 | SF-01:9.0 | SF-04:3.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/revenue-and-regulatory-reporting.md
Rights and Contract Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,1,SF-03,Decision Context Escapes the Record,SF-05,Handoff and Approval Latency,SF-03 | SF-05,Decision Context Escapes the Record | Handoff and Approval Latency,SF-03:11.5 | SF-05:7.0,SF-03:11.5 | SF-05:7.0 | SF-01:5.0 | SF-02:4.0 | SF-04:4.0 | SF-07:1.0,Legacy Architecture,"Leakage appears through rights misinterpretation, stale documents, missed obligations, and manual rework.",Teams search for the right version and reconcile obligations across disconnected repositories.,"People still interpret contractual nuance, usage rights, and which document version is good enough to act on.","Key commentary and approval history sit in emails, redlines, and shared folders outside the formal index.","The workflow combines unstructured content and structured obligations, which few systems model together well. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/rights-and-contract-management.md
Risk and Compliance Monitoring,"Risk, Compliance, and Reporting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",1,SF-07,Compliance and Evidence Burden,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-07 | SF-03 | SF-01,Compliance and Evidence Burden | Decision Context Escapes the Record | Exception-Path Breakdown,SF-07:26.0 | SF-03:12.0 | SF-01:7.0,SF-07:26.0 | SF-03:12.0 | SF-01:7.0 | SF-02:6.0 | SF-04:4.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/risk-and-compliance-monitoring.md
Risk and Compliance Surveillance,"Risk, Compliance, and Reporting",Capital Markets and Investment Management,"Securities, commodity contracts, and investments",1,SF-07,Compliance and Evidence Burden,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-07 | SF-03 | SF-01,Compliance and Evidence Burden | Decision Context Escapes the Record | Exception-Path Breakdown,SF-07:26.0 | SF-03:12.0 | SF-01:7.0,SF-07:26.0 | SF-03:12.0 | SF-01:7.0 | SF-02:6.0 | SF-04:4.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/risk-and-compliance-surveillance.md
Royalty and Participation Accounting,Finance and Revenue Operations,"IP, Subscription, and Rights Management",Motion picture and sound recording industries,1,SF-03,Decision Context Escapes the Record,SF-02 | SF-01,Cross-System Reconciliation | Exception-Path Breakdown,SF-03 | SF-02 | SF-01,Decision Context Escapes the Record | Cross-System Reconciliation | Exception-Path Breakdown,SF-03:9.5 | SF-02:8.0 | SF-01:7.0,SF-03:9.5 | SF-02:8.0 | SF-01:7.0 | SF-04:4.0 | SF-05:3.0 | SF-07:1.0,Legacy Architecture,"Leakage appears through rights misinterpretation, stale documents, missed obligations, and manual rework.",Teams search for the right version and reconcile obligations across disconnected repositories.,"People still interpret contractual nuance, usage rights, and which document version is good enough to act on.","Key commentary and approval history sit in emails, redlines, and shared folders outside the formal index.","The workflow combines unstructured content and structured obligations, which few systems model together well. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/royalty-and-participation-accounting.md
Safety and Compliance Management,"Risk, Compliance, and Reporting","Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",1,SF-07,Compliance and Evidence Burden,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07 | SF-04 | SF-03,Compliance and Evidence Burden | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07:23.5 | SF-04:14.0 | SF-03:10.5,SF-07:23.5 | SF-04:14.0 | SF-03:10.5 | SF-01:7.0 | SF-02:1.0,Regulatory,"Failures, recalls, rework, and excess inspection labor are the major leakage points.","Teams repeat data entry, collect evidence manually, and wait on disposition decisions.","Inspectors still interpret severity, traceability gaps, and acceptable release decisions.","Evidence often sits in attachments, lab systems, spreadsheets, and manual checklists outside the main record.","Standards are formal, but real-world deviations and root-cause interpretation remain human-heavy. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/safety-and-compliance-management.md
Scheduling and Staffing,Workforce and Labor Operations,Education Delivery and Administration,Educational services,1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:7.0 | SF-04:7.0,SF-03:7.0 | SF-04:7.0 | SF-05:4.0 | SF-06:2.0,Behavioral,"Leakage comes from misstaffing, poor utilization, overqualified labor, and late reassignment.",Managers spend time matching people to work and rebalancing load when priorities shift.,"People assignment depends on context, trust, and tacit knowledge about who can truly handle the work.","Assignment rationale is often managed in calls, chats, and local trackers outside the HCM tool.","Skills models help, but actual staffing decisions remain social and context-sensitive. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/scheduling-and-staffing.md
Service Delivery and Referral Coordination,Clinical and Case Operations,Case Management and Program Administration,Social assistance,1,SF-03,Decision Context Escapes the Record,SF-04 | SF-07,Human Judgment Under Incomplete Information | Compliance and Evidence Burden,SF-03 | SF-04 | SF-07,Decision Context Escapes the Record | Human Judgment Under Incomplete Information | Compliance and Evidence Burden,SF-03:13.0 | SF-04:7.0 | SF-07:6.5,SF-03:13.0 | SF-04:7.0 | SF-07:6.5 | SF-05:6.0 | SF-06:3.0 | SF-02:2.0 | SF-08:1.0,Regulatory,"Leakage appears as duplicated work, missed follow-up, avoidable utilization, and incomplete billable documentation.","Teams repeatedly reconcile status and chase missing clinical, referral, or plan information.","Care appropriateness, urgency, and readiness still depend on expert interpretation.","Critical case context moves through phone calls, referrals, messages, and external portals.",Even strong systems of record do not remove the need for contextual coordination across people and organizations. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/service-delivery-and-referral-coordination.md
Service Execution,Delivery and Service Execution,Retail and Service Commerce,Food services and drinking places,1,SF-01,Exception-Path Breakdown,SF-03 | SF-06,Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01 | SF-03 | SF-06,Exception-Path Breakdown | Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01:14.0 | SF-03:11.0 | SF-06:6.0,SF-01:14.0 | SF-03:11.0 | SF-06:6.0 | SF-04:3.0 | SF-02:1.0 | SF-05:1.0,Legacy Architecture,"Leakage shows up in split orders, mispicks, returns, expedites, and fulfillment promises that outrun actual capacity.","Teams chase inventory truth, release status, and downstream transport updates across systems.","Operators still decide how to recover shortages, prioritize customers, and manage substitutions.","Exception handling often happens through email, calls, and local trackers outside the formal order flow.","Order orchestration spans inventory, warehouse, transport, and customer systems with different clocks and constraints. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/service-execution.md
Service Provisioning and Activation,Network and Transportation Operations,Network Infrastructure Operations,Broadcasting and telecommunications,1,SF-03,Decision Context Escapes the Record,,,SF-03,Decision Context Escapes the Record,SF-03:7.0,SF-03:7.0 | SF-04:4.0 | SF-06:4.0 | SF-02:3.0 | SF-08:3.0 | SF-01:1.0 | SF-05:1.0,Legacy Architecture,Delayed activations and bad service-order hygiene push revenue start dates and increase fallout.,Provisioning teams reconcile commercial orders with technical reality and chase cross-system updates.,Engineers and provisioning staff still judge edge-case feasibility and recovery steps.,"Actual root-cause context often lives in tickets, chat threads, and engineering notes outside the order record.","Commercial, technical, and billing systems still do not share one reliable activation truth in many stacks. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/service-provisioning-and-activation.md
Service Scheduling and Parts Management,Customer and Experience Operations,Retail and Service Commerce,Motor vehicle and parts dealers,1,SF-01,Exception-Path Breakdown,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-01 | SF-03 | SF-04,Exception-Path Breakdown | Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-01:10.0 | SF-03:8.0 | SF-04:7.0,SF-01:10.0 | SF-03:8.0 | SF-04:7.0 | SF-06:1.0 | SF-07:1.0,Technical,"Leakage appears through low first-time fix, no-shows, deadhead travel, and rescheduling churn.","Schedulers spend time on calendar juggling, parts checks, and customer callbacks.","Experienced schedulers still know which combinations of customer, asset, and worker will actually succeed.","Real-world exceptions are coordinated through calls, texts, and side notes outside the scheduler.",The slotting problem is only half the challenge; the other half is local exception management with incomplete visibility. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/service-scheduling-and-parts-management.md
Service-Level Monitoring,Governance and Portfolio Operations,Workforce Coordination and Service Operations,Administrative and support services,1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:16.0 | SF-04:9.0 | SF-03:8.0,SF-05:16.0 | SF-04:9.0 | SF-03:8.0 | SF-08:3.0 | SF-02:1.0,Organizational,Capital and support resources drift into low-return uses when performance signals are late or noisy.,Review cycles are slowed by manual aggregation and commentary collection.,"Leadership still decides tradeoffs among long-term return, local politics, and near-term operational reality.",Most decisive discussion happens in decks and meetings rather than the planning system itself.,Shared-service and capital decisions remain cross-functional and politically negotiated rather than purely model-driven. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/service-level-monitoring.md
Shared Service Operations,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:16.0 | SF-04:9.0 | SF-03:8.0,SF-05:16.0 | SF-04:9.0 | SF-03:8.0 | SF-08:3.0 | SF-02:1.0,Organizational,Capital and support resources drift into low-return uses when performance signals are late or noisy.,Review cycles are slowed by manual aggregation and commentary collection.,"Leadership still decides tradeoffs among long-term return, local politics, and near-term operational reality.",Most decisive discussion happens in decks and meetings rather than the planning system itself.,Shared-service and capital decisions remain cross-functional and politically negotiated rather than purely model-driven. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/shared-service-operations.md
Shipping and Invoice Reconciliation,Finance and Revenue Operations,Product Manufacturing and Lifecycle Operations,Fabricated metal products,1,SF-02,Cross-System Reconciliation,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-02 | SF-01 | SF-03,Cross-System Reconciliation | Exception-Path Breakdown | Decision Context Escapes the Record,SF-02:23.5 | SF-01:16.0 | SF-03:14.0,SF-02:23.5 | SF-01:16.0 | SF-03:14.0 | SF-04:11.0 | SF-08:4.0 | SF-07:2.0,Legacy Architecture,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 3 systems-of-record categories.,knowledge/research/workflow-library/workflows/shipping-and-invoice-reconciliation.md
Shop Floor Execution and Quality Management,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts | Fabricated metal products | Computer and electronic products",3,SF-06,Plan vs. Reality Divergence,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-06 | SF-04 | SF-03,Plan vs. Reality Divergence | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-06:16.5 | SF-04:10.0 | SF-03:8.0,SF-06:16.5 | SF-04:10.0 | SF-03:8.0 | SF-05:4.0 | SF-02:1.0 | SF-01:0.5,Legacy Architecture,"Scrap, slow cycles, poor yields, and unplanned downtime are the main leakages.","Operators lose time to waiting, restarts, manual data capture, and coordination across shifts.","Supervisors balance throughput, quality, and risk when conditions diverge from the ideal run.","Operational nuance lives in shift notes, whiteboards, and tribal knowledge outside MES and ERP fields.","Even with modern MES, the last mile of execution still depends on local conditions and human adaptation. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/shop-floor-execution-and-quality-management.md
Sponsorship and Donor Management,"Access, Intake, and Contracting","Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:8.0 | SF-04:6.5,SF-03:8.0 | SF-04:6.5 | SF-01:3.0 | SF-05:3.0,Behavioral,"Revenue is lost through weak follow-up, inconsistent fulfillment, and poor visibility into renewal risk.","Teams manually coordinate donor history, package details, and fulfillment status across systems and documents.","Relationship strength, timing, and ask strategy are still judged person to person.","Stewardship context lives in notes, conversations, and one-off trackers rather than a complete shared record.",The workflow depends heavily on relationship nuance and bespoke package management rather than purely transactional logic. It typically spans 1 operating-system context and 3 systems-of-record categories.,knowledge/research/workflow-library/workflows/sponsorship-and-donor-management.md
Staffing and Capacity Planning,Workforce and Labor Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services | Computer systems design and related services",2,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:7.0 | SF-04:7.0,SF-03:7.0 | SF-04:7.0 | SF-05:4.0 | SF-06:2.0,Behavioral,"Leakage comes from misstaffing, poor utilization, overqualified labor, and late reassignment.",Managers spend time matching people to work and rebalancing load when priorities shift.,"People assignment depends on context, trust, and tacit knowledge about who can truly handle the work.","Assignment rationale is often managed in calls, chats, and local trackers outside the HCM tool.","Skills models help, but actual staffing decisions remain social and context-sensitive. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/staffing-and-capacity-planning.md
Staffing and Task Management,Workforce and Labor Operations,Professional Services and Matter Management,Legal services,1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:7.0 | SF-04:7.0,SF-03:7.0 | SF-04:7.0 | SF-05:4.0 | SF-06:2.0,Behavioral,"Leakage comes from misstaffing, poor utilization, overqualified labor, and late reassignment.",Managers spend time matching people to work and rebalancing load when priorities shift.,"People assignment depends on context, trust, and tacit knowledge about who can truly handle the work.","Assignment rationale is often managed in calls, chats, and local trackers outside the HCM tool.","Skills models help, but actual staffing decisions remain social and context-sensitive. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/staffing-and-task-management.md
Store Labor Execution,Workforce and Labor Operations,Retail and Service Commerce,General merchandise stores,1,SF-04,Human Judgment Under Incomplete Information,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-04 | SF-01 | SF-03,Human Judgment Under Incomplete Information | Exception-Path Breakdown | Decision Context Escapes the Record,SF-04:8.0 | SF-01:7.0 | SF-03:7.0,SF-04:8.0 | SF-01:7.0 | SF-03:7.0 | SF-05:4.0 | SF-07:2.5 | SF-06:2.0,Behavioral,"Overtime, uncovered demand, idle time, and payroll corrections are the core leaks.","Schedulers constantly rework the plan around callouts, fairness concerns, and compliance rules.",Managers know who can actually handle the work and what informal tradeoffs will hold the operation together.,"The live schedule lives in texts, calls, and local shift notes once the day starts moving.",Workforce systems solve the baseline but not the velocity of same-day human exceptions. It typically spans 1 operating-system context and 5 systems-of-record categories.,knowledge/research/workflow-library/workflows/store-labor-execution.md
Student Service and Retention Management,Customer and Experience Operations,Education Delivery and Administration,Educational services,1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:16.0 | SF-04:12.5,SF-03:16.0 | SF-04:12.5 | SF-01:1.0,Behavioral,"Late risk detection, weak expansion discipline, and reactive renewal handling erode retention economics.","Teams assemble context manually across service records, invoices, and relationship notes before every renewal conversation.","Renewal strategy depends on relationship strength, future potential, and nuanced commercial tradeoffs.","The decisive conversations happen in calls, emails, and side planning decks outside the system of record.",Signals are fragmented and the most important retention decisions are strategic rather than purely operational. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/student-service-and-retention-management.md
